Year Month,Postal Code,Customer Class,Total Gallons
2012/03,78729,Irrigation - Residential,"1,300"
2012/03,78729,Multi-Family,"21,444,400"
2012/03,78729,Irrigation - Multi-Family,"1,385,900"
2012/03,78730,Multi-Family,"4,404,000"
2012/03,78730,Irrigation - Multi-Family,"591,200"
2012/03,78730,Irrigation - Residential,"173,600"
2012/03,78730,Residential,"4,235,600"
2012/03,78731,Residential,"46,730,500"
2012/03,78731,Irrigation - Multi-Family,"447,700"
2012/03,78731,Irrigation - Residential,"161,000"
2012/03,78731,Multi-Family,"18,556,700"
2012/03,78735,Irrigation - Multi-Family,"887,800"
2012/03,78735,Multi-Family,"9,733,400"
2012/03,78735,Residential,"14,936,000"
2012/03,78736,Residential,"10,095,400"
2012/03,78736,Irrigation - Multi-Family,"262,300"
2012/03,78736,Irrigation - Residential,"5,100"
2012/03,78736,Multi-Family,"2,642,800"
2012/03,78737,Residential,"4,726,100"
2012/03,78737,Irrigation - Residential,"3,700"
2012/03,78738,Residential,"8,200"
2012/03,78739,Irrigation - Residential,0
2012/03,78739,Residential,"28,919,800"
2012/03,78741,Multi-Family,"80,321,000"
2012/03,78741,Irrigation - Multi-Family,"1,578,800"
2012/03,78741,Irrigation - Residential,"13,900"
2012/03,78741,Residential,"17,558,343"
2012/03,78742,Multi-Family,"283,800"
2012/03,78742,Residential,"604,800"
2012/03,78744,Residential,"49,242,000"
2012/03,78744,Irrigation - Residential,500
2012/03,78744,Multi-Family,"22,950,200"
2012/03,78744,Irrigation - Multi-Family,"220,000"
2012/03,78745,Multi-Family,"33,382,500"
2012/03,78745,Residential,"70,925,600"
2012/03,78745,Irrigation - Residential,"22,300"
2012/03,78745,Irrigation - Multi-Family,"1,842,500"
2012/03,78746,Residential,"23,129,700"
2012/03,78746,Irrigation - Multi-Family,"365,700"
2012/03,78746,Multi-Family,"13,126,500"
2012/03,78746,Irrigation - Residential,"197,700"
2012/03,78747,Irrigation - Multi-Family,"121,700"
2012/03,78747,Multi-Family,"6,615,300"
2012/03,78747,Irrigation - Residential,"74,600"
2012/03,78747,Residential,"19,495,700"
2012/03,78748,Multi-Family,"13,925,700"
2012/03,78748,Irrigation - Multi-Family,"1,935,200"
2012/03,78748,Irrigation - Residential,"6,000"
2012/03,78748,Residential,"58,963,600"
2012/03,78749,Irrigation - Multi-Family,"3,595,400"
2012/03,78749,Multi-Family,"14,891,400"
2012/03,78749,Irrigation - Residential,"1,300"
2012/03,78749,Residential,"52,585,900"
2012/03,78750,Multi-Family,"12,656,800"
2012/03,78750,Irrigation - Multi-Family,"564,000"
2012/03,78750,Irrigation - Residential,0
2012/03,78750,Residential,"39,636,500"
2012/03,78751,Irrigation - Residential,"42,200"
2012/03,78751,Residential,"14,804,000"
2012/03,78751,Multi-Family,"13,538,000"
2012/03,78751,Irrigation - Multi-Family,"255,200"
2012/03,78752,Irrigation - Multi-Family,"60,800"
2012/03,78752,Residential,"11,922,500"
2012/03,78752,Multi-Family,"21,519,900"
2012/03,78753,Irrigation - Multi-Family,"2,261,800"
2012/03,78753,Irrigation - Residential,0
2012/03,78753,Multi-Family,"53,441,800"
2012/03,78753,Residential,"39,586,200"
2012/03,78754,Residential,"17,356,100"
2012/03,78754,Irrigation - Multi-Family,"910,700"
2012/03,78754,Irrigation - Residential,0
2012/03,78754,Multi-Family,"12,458,900"
2012/03,78756,Multi-Family,"5,377,100"
2012/03,78756,Irrigation - Residential,"2,100"
2012/03,78756,Residential,"9,662,200"
2012/03,78756,Irrigation - Multi-Family,"49,600"
2012/03,78757,Residential,"29,105,200"
2012/03,78757,Irrigation - Residential,"56,400"
2012/03,78757,Irrigation - Multi-Family,"24,300"
2012/03,78757,Multi-Family,"13,624,900"
2012/03,78758,Irrigation - Residential,0
2012/03,78758,Residential,"37,978,800"
2012/03,78758,Multi-Family,"42,000,100"
2012/03,78758,Irrigation - Multi-Family,"1,020,500"
2012/03,78759,Multi-Family,"35,350,500"
2012/03,78759,Residential,"48,471,900"
2012/03,78759,Irrigation - Residential,"34,900"
2012/03,78759,Irrigation - Multi-Family,"641,000"
2012/04,78613,Irrigation - Multi-Family,"58,000"
2012/04,78613,Multi-Family,"25,500"
2012/04,78617,Multi-Family,"2,377,800"
2012/04,78617,Residential,"18,474,100"
2012/04,78652,Irrigation - Residential,"19,500"
2012/04,78652,Multi-Family,"313,900"
2012/04,78652,Residential,"797,700"
2012/04,78653,Multi-Family,"81,900"
2012/04,78653,Residential,"973,000"
2012/04,78660,Irrigation - Residential,"12,900"
2012/04,78660,Multi-Family,"142,400"
2012/04,78660,Residential,"7,721,500"
2012/04,78701,Irrigation - Multi-Family,"177,200"
2012/04,78701,Multi-Family,"12,925,300"
2012/04,78701,Residential,"1,116,900"
2012/04,78702,Residential,"26,566,200"
2012/04,78702,Irrigation - Multi-Family,"502,200"
2012/04,78702,Multi-Family,"9,086,300"
