Year Month,Postal Code,Customer Class,Total Gallons
2012/02,78750,Multi-Family,11508600
2012/02,78750,Residential,36809500
2012/02,78751,Irrigation - Multi-Family,263500
2012/02,78751,Irrigation - Residential,51600
2012/02,78751,Multi-Family,12621100
2012/02,78751,Residential,13753300
2012/02,78752,Residential,11479800
2012/02,78752,Irrigation - Multi-Family,55400
2012/02,78752,Multi-Family,19718900
2012/02,78753,Multi-Family,47731500
2012/02,78753,Residential,34517300
2012/02,78753,Irrigation - Residential,0
2012/02,78753,Irrigation - Multi-Family,1920500
2012/02,78754,Irrigation - Multi-Family,933900
2012/02,78754,Multi-Family,11194400
2012/02,78754,Irrigation - Residential,0
2012/02,78754,Residential,15382200
2012/02,78756,Residential,9079000
2012/02,78756,Irrigation - Residential,11000
2012/02,78756,Multi-Family,5256900
2012/02,78756,Irrigation - Multi-Family,68600
2012/02,78757,Irrigation - Multi-Family,16000
2012/02,78757,Residential,26408400
2012/02,78757,Irrigation - Residential,56200
2012/02,78757,Multi-Family,12199500
2012/02,78758,Residential,35177300
2012/02,78758,Irrigation - Residential,300
2012/02,78758,Irrigation - Multi-Family,760200
2012/02,78758,Multi-Family,37668300
2012/02,78759,Residential,46092800
2012/02,78759,Irrigation - Residential,21100
2012/02,78759,Irrigation - Multi-Family,547800
2012/02,78759,Multi-Family,32890500
2012/03,78613,Multi-Family,46300
2012/03,78613,Irrigation - Multi-Family,13000
2012/03,78617,Residential,17798000
2012/03,78617,Multi-Family,3578600
2012/03,78652,Irrigation - Residential,19700
2012/03,78652,Residential,696200
2012/03,78652,Multi-Family,21100
2012/03,78653,Multi-Family,69700
2012/03,78653,Residential,851100
2012/03,78660,Irrigation - Residential,5900
2012/03,78660,Multi-Family,125000
2012/03,78660,Residential,6990600
2012/03,78701,Residential,1014400
2012/03,78701,Irrigation - Multi-Family,137500
2012/03,78701,Multi-Family,12766300
2012/03,78702,Irrigation - Multi-Family,412500
2012/03,78702,Irrigation - Residential,27000
2012/03,78702,Residential,26549200
2012/03,78702,Multi-Family,9410400
2012/03,78703,Multi-Family,12261300
2012/03,78703,Residential,39472900
2012/03,78703,Irrigation - Multi-Family,215200
2012/03,78703,Irrigation - Residential,649100
2012/03,78704,Irrigation - Multi-Family,796100
2012/03,78704,Multi-Family,46078600
2012/03,78704,Irrigation - Residential,134500
2012/03,78704,Residential,40437200
2012/03,78705,Irrigation - Residential,38900
2012/03,78705,Irrigation - Multi-Family,339300
2012/03,78705,Multi-Family,33634300
2012/03,78705,Residential,8732300
2012/03,78712,Residential,0
2012/03,78717,Irrigation - Multi-Family,1436400
2012/03,78717,Irrigation - Residential,0
2012/03,78717,Multi-Family,7487800
2012/03,78717,Residential,24170500
2012/03,78719,Multi-Family,553800
2012/03,78719,Residential,1448200
2012/03,78721,Irrigation - Residential,300
2012/03,78721,Residential,14857300
2012/03,78721,Multi-Family,4620500
2012/03,78721,Irrigation - Multi-Family,0
2012/03,78722,Irrigation - Multi-Family,0
2012/03,78722,Residential,7855400
2012/03,78722,Multi-Family,2635900
2012/03,78723,Irrigation - Multi-Family,160300
2012/03,78723,Multi-Family,19841200
2012/03,78723,Residential,31021600
2012/03,78724,Multi-Family,14199200
2012/03,78724,Residential,19610500
2012/03,78724,Irrigation - Multi-Family,195500
2012/03,78724,Irrigation - Residential,20300
2012/03,78725,Multi-Family,244500
2012/03,78725,Residential,1988200
2012/03,78726,Multi-Family,11131400
2012/03,78726,Irrigation - Multi-Family,1924000
2012/03,78726,Irrigation - Residential,1000
2012/03,78726,Residential,12444900
2012/03,78727,Multi-Family,19027400
2012/03,78727,Irrigation - Residential,800
2012/03,78727,Residential,33149600
2012/03,78727,Irrigation - Multi-Family,2363500
2012/03,78728,Multi-Family,7288600
2012/03,78728,Residential,3759700
2012/03,78728,Irrigation - Multi-Family,125800
2012/03,78729,Residential,18614600
2012/03,78729,Irrigation - Residential,1300
2012/03,78729,Multi-Family,21444400
2012/03,78729,Irrigation - Multi-Family,1385900
2012/03,78730,Multi-Family,4404000
2012/03,78730,Irrigation - Multi-Family,591200
2012/03,78730,Irrigation - Residential,173600
2012/03,78730,Residential,4235600
2012/03,78731,Residential,46730500
2012/03,78731,Irrigation - Multi-Family,447700
2012/03,78731,Irrigation - Residential,161000
2012/03,78731,Multi-Family,18556700
2012/03,78735,Irrigation - Multi-Family,887800
2012/03,78735,Multi-Family,9733400
2012/03,78735,Residential,14936000
2012/03,78736,Residential,10095400
2012/03,78736,Irrigation - Multi-Family,262300
2012/03,78736,Irrigation - Residential,5100
2012/03,78736,Multi-Family,2642800
2012/03,78737,Residential,4726100
2012/03,78737,Irrigation - Residential,3700
2012/03,78738,Residential,8200
2012/03,78739,Irrigation - Residential,0
2012/03,78739,Residential,28919800
2012/03,78741,Multi-Family,80321000
2012/03,78741,Irrigation - Multi-Family,1578800
2012/03,78741,Irrigation - Residential,13900
2012/03,78741,Residential,17558343
2012/03,78742,Multi-Family,283800
2012/03,78742,Residential,604800
2012/03,78744,Residential,49242000
2012/03,78744,Irrigation - Residential,500
2012/03,78744,Multi-Family,22950200
2012/03,78744,Irrigation - Multi-Family,220000
2012/03,78745,Multi-Family,33382500
2012/03,78745,Residential,70925600
2012/03,78745,Irrigation - Residential,22300
2012/03,78745,Irrigation - Multi-Family,1842500
2012/03,78746,Residential,23129700
2012/03,78746,Irrigation - Multi-Family,365700
2012/03,78746,Multi-Family,13126500
2012/03,78746,Irrigation - Residential,197700
2012/03,78747,Irrigation - Multi-Family,121700
2012/03,78747,Multi-Family,6615300
2012/03,78747,Irrigation - Residential,74600
2012/03,78747,Residential,19495700
2012/03,78748,Multi-Family,13925700
2012/03,78748,Irrigation - Multi-Family,1935200
2012/03,78748,Irrigation - Residential,6000
2012/03,78748,Residential,58963600
2012/03,78749,Irrigation - Multi-Family,3595400
2012/03,78749,Multi-Family,14891400
2012/03,78749,Irrigation - Residential,1300
2012/03,78749,Residential,52585900
2012/03,78750,Multi-Family,12656800
2012/03,78750,Irrigation - Multi-Family,564000
2012/03,78750,Irrigation - Residential,0
2012/03,78750,Residential,39636500
2012/03,78751,Irrigation - Residential,42200
2012/03,78751,Residential,14804000
2012/03,78751,Multi-Family,13538000
2012/03,78751,Irrigation - Multi-Family,255200
2012/03,78752,Irrigation - Multi-Family,60800
2012/03,78752,Residential,11922500
2012/03,78752,Multi-Family,21519900
2012/03,78753,Irrigation - Multi-Family,2261800
2012/03,78753,Irrigation - Residential,0
2012/03,78753,Multi-Family,53441800
2012/03,78753,Residential,39586200
2012/03,78754,Residential,17356100
2012/03,78754,Irrigation - Multi-Family,910700
2012/03,78754,Irrigation - Residential,0
2012/03,78754,Multi-Family,12458900
2012/03,78756,Multi-Family,5377100
2012/03,78756,Irrigation - Residential,2100
2012/03,78756,Residential,9662200
2012/03,78756,Irrigation - Multi-Family,49600
2012/03,78757,Residential,29105200
2012/03,78757,Irrigation - Residential,56400
2012/03,78757,Irrigation - Multi-Family,24300
2012/03,78757,Multi-Family,13624900
2012/03,78758,Irrigation - Residential,0
2012/03,78758,Residential,37978800
2012/03,78758,Multi-Family,42000100
2012/03,78758,Irrigation - Multi-Family,1020500
2012/03,78759,Multi-Family,35350500
2012/03,78759,Residential,48471900
2012/03,78759,Irrigation - Residential,34900
2012/03,78759,Irrigation - Multi-Family,641000
2012/04,78613,Irrigation - Multi-Family,58000
2012/04,78613,Multi-Family,25500
2012/04,78617,Multi-Family,2377800
2012/04,78617,Residential,18474100
2012/04,78652,Irrigation - Residential,19500
2012/04,78652,Multi-Family,313900
2012/04,78652,Residential,797700
2012/04,78653,Multi-Family,81900
2012/04,78653,Residential,973000
2012/04,78660,Irrigation - Residential,12900
2012/04,78660,Multi-Family,142400
2012/04,78660,Residential,7721500
2012/04,78701,Irrigation - Multi-Family,177200
2012/04,78701,Multi-Family,12925300
2012/04,78701,Residential,1116900
2012/04,78702,Residential,26566200
2012/04,78702,Irrigation - Multi-Family,502200
2012/04,78702,Multi-Family,9086300
2012/04,78702,Irrigation - Residential,37100
2012/04,78703,Residential,47139500
2012/04,78703,Irrigation - Residential,1041600
2012/04,78703,Irrigation - Multi-Family,348300
2012/04,78703,Multi-Family,11657200
2012/04,78704,Irrigation - Residential,162400
2012/04,78704,Multi-Family,44992300
2012/04,78704,Residential,43624800
2012/04,78704,Irrigation - Multi-Family,770100
2012/04,78705,Irrigation - Multi-Family,360800
2012/04,78705,Irrigation - Residential,42700
2012/04,78705,Multi-Family,31638900
2012/04,78705,Residential,9438800
2012/04,78712,Residential,0
2012/04,78717,Irrigation - Residential,9400
2012/04,78717,Multi-Family,7955500
2012/04,78717,Irrigation - Multi-Family,2401100
2012/04,78717,Residential,37056200
2012/04,78719,Residential,1472900
2012/04,78719,Multi-Family,583800
2012/04,78721,Irrigation - Multi-Family,0
2012/04,78721,Multi-Family,4098200
2012/04,78721,Residential,15055400
2012/04,78721,Irrigation - Residential,1900
2012/04,78722,Irrigation - Multi-Family,0
2012/04,78722,Multi-Family,2374100
2012/04,78722,Residential,8156000
2012/04,78723,Irrigation - Multi-Family,129000
2012/04,78723,Multi-Family,19670700
2012/04,78723,Residential,33824100
2012/04,78724,Irrigation - Multi-Family,0
2012/04,78724,Multi-Family,10940900
2012/04,78724,Residential,19117000
2012/04,78724,Irrigation - Residential,32000
2012/04,78725,Multi-Family,227100
2012/04,78725,Residential,2102600
2012/04,78726,Multi-Family,11272400
2012/04,78726,Irrigation - Residential,32100
2012/04,78726,Irrigation - Multi-Family,2657700
2012/04,78726,Residential,16910800
2012/04,78727,Residential,37713500
2012/04,78727,Irrigation - Residential,5600
2012/04,78727,Multi-Family,17900400
2012/04,78727,Irrigation - Multi-Family,3120000
2012/04,78728,Irrigation - Multi-Family,865000
2012/04,78728,Multi-Family,6612100
2012/04,78728,Residential,4502800
2012/04,78729,Irrigation - Multi-Family,1474400
2012/04,78729,Irrigation - Residential,1800
2012/04,78729,Multi-Family,21324000
2012/04,78729,Residential,20781300
2012/04,78730,Irrigation - Residential,152600
2012/04,78730,Multi-Family,4327500
